title,date
"Sex Education: Season 2: Episode 8","7/9/20"
"Sex Education: Season 2: Episode 7","7/9/20"
"Sex Education: Season 2: Episode 6","7/9/20"
"Sex Education: Season 2: Episode 5","7/9/20"
"Sex Education: Season 2: Episode 4","7/9/20"
"Sex Education: Season 2: Episode 3","7/9/20"
"Sex Education: Season 2: Episode 2","7/9/20"
"Sex Education: Season 2: Episode 1","7/9/20"
"Sex Education: Season 1: Episode 5","7/9/20"
"Sex Education: Season 1: Episode 8","7/9/20"
"Sex Education: Season 1: Episode 7","7/9/20"
"Sex Education: Season 1: Episode 6","7/9/20"
"Sex Education: Season 1: Episode 4","7/8/20"
"Sex Education: Season 1: Episode 3","7/8/20"
"Sex Education: Season 1: Episode 2","7/8/20"
"Sex Education: Season 1: Episode 1","7/8/20"
"Dark: Season 3: The Paradise","7/8/20"
"Dark: Season 3: The Survivors","7/8/20"
"JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: Dio The Invader","7/5/20"
"Dark: Season 3: Deja-vu","7/5/20"
"Dark: Season 1: Secrets","6/30/20"
"Dark: Season 3: Between the Time","6/28/20"
"Dark: Season 3: Light and Shadow","6/27/20"
"Dark: Season 3: Life and Death","6/27/20"
"Dark: Season 3: The Origin","6/27/20"
"Dark: Season 3: Adam and Eva","6/27/20"
"Dark: Season 2: Endings and Beginnings","6/27/20"
"Dark: Season 2: The White Devil","6/27/20"
"Dark: Season 2: An Endless Cycle","6/27/20"
"Dark: Season 2: Lost and Found","6/27/20"
"Dark: Season 2: The Travelers","6/26/20"
"Dark: Season 2: Ghosts","6/26/20"
"Dark: Season 2: Dark Matter","6/26/20"
"Dark: Season 2: Beginnings and Endings","6/26/20"
"Dark: Season 1: Alpha and Omega","6/24/20"
"Dark: Season 1: Everything Is Now","6/24/20"
"Dark: Season 1: As You Sow, So You Shall Reap","6/23/20"
"Dark: Season 1: Crossroads","6/23/20"
"Dark: Season 1: Sic Mundus Creatus Est","6/23/20"
"Dark: Season 1: Truths","6/21/20"
"Dark: Season 1: Double Lives","6/21/20"
"Dark: Season 1: Past and Present","6/21/20"
"Dark: Season 1: Lies","6/19/20"
"The Master","6/11/20"
"The Killing of a Sacred Deer","6/8/20"
"The Florida Project","6/7/20"
"Moonlight","6/5/20"
"The Platform","6/4/20"
"The 100: Season 1: Pilot","6/3/20"
"Avatar: The Last Airbender: Book 3: The Ember Island Players","6/2/20"
"Avatar: The Last Airbender: Book 3: The Southern Raiders","6/2/20"
"Avatar: The Last Airbender: Book 1: The Boy in the Iceberg","6/2/20"
"Uncut Gems","6/1/20"
"Outlander: Season 3: Eye of the Storm","5/24/20"
"Outlander: Season 3: The Bakra","5/23/20"
"Outlander: Season 3: Uncharted","5/23/20"
"Outlander: Season 3: Heaven and Earth","5/23/20"
"Outlander: Season 3: The Doldrums","5/23/20"
"Outlander: Season 3: First Wife","5/22/20"
"Outlander: Season 3: Crème de Menthe","5/22/20"
"Outlander: Season 3: Freedom & Whiskey","5/22/20"
"Outlander: Season 3: Of Lost Things","5/22/20"
"Outlander: Season 3: All Debts Paid","5/22/20"
"Outlander: Season 3: Surrender","5/22/20"
"Outlander: Season 1: Sassenach","5/22/20"
"Outlander: Season 3: The Battle Joined","5/22/20"
"Outlander: Season 2: Dragonfly in Amber","5/22/20"
"Outlander: Season 2: The Hail Mary","5/22/20"
"Outlander: Season 2: Vengeance Is Mine","5/22/20"
"Outlander: Season 2: Prestonpans","5/21/20"
"Outlander: Season 2: Best Laid Schemes","5/21/20"
"Outlander: Season 2: Je Suis Prest","5/21/20"
"Outlander: Season 2: The Fox's Lair","5/21/20"
"Outlander: Season 2: Faith","5/21/20"
"Outlander: Season 2: Untimely Resurrection","5/21/20"
"Outlander: Season 2: La Dame Blanche","5/21/20"
"Outlander: Season 2: Useful Occupations and Deception","5/21/20"
"Outlander: Season 2: Not in Scotland Anymore","5/21/20"
"Outlander: Season 2: Through a Glass, Darkly","5/20/20"
"Outlander: Season 1: To Ransom a Man's Soul","5/20/20"
"Outlander: Season 1: Wentworth Prison","5/20/20"
"Outlander: Season 1: The Search","5/20/20"
"Outlander: Season 1: The Watch","5/20/20"
"Outlander: Season 1: Lallybroch","5/19/20"
